Carrera,Estudiantes femeninos,Estudiantes masculinos,Cuatrimestre,Año,,,,
Tecnólogo en Redes de Información,45,249,Septiembre- Diciembre,2016,,,,
Tecnólogo en Seguridad Informática ,4,42,Septiembre- Diciembre,2016,,,,
Tecnólogo en Sonido,4,21,Septiembre- Diciembre,2016,,,,
Tecnólogo en Desarrollo de Software,78,538,Enero - Abril,2017,,,,
Tecnólogo en Manufactura Automatizada,6,19,Enero - Abril,2017,,,,
Tecnólogo en Mecatrónica,18,233,Enero - Abril,2017,,,,
Tecnólogo en Multimedia,112,179,Enero - Abril,2017,,,,
Tecnólogo en Redes de Información,56,263,Enero - Abril,2017,,,,
Tecnólogo en Seguridad Informática ,7,68,Enero - Abril,2017,,,,
Tecnólogo en Sonido,4,38,Enero - Abril,2017,,,,
Tecnólogo en Seguridad Informática ,6,60,Mayo - Agosto,2017,,,,
Tecnólogo en Desarrollo de Software,67,501,Mayo - Agosto,2017,,,,
Tecnólogo en Multimedia,93,152,Mayo - Agosto,2017,,,,
Tecnólogo en Sonido,3,24,Mayo - Agosto,2017,,,,
Tecnólogo en Manufactura Automatizada,7,20,Mayo - Agosto,2017,,,,
Tecnólogo en Mecatrónica,18,205,Mayo - Agosto,2017,,,,
Tecnólogo en Redes de Información,44,223,Mayo - Agosto,2017,,,,
Tecnólogo en Multimedia ,211,118,Septiembre- Diciembre,2017,,,,
Tecnólogo en Manufactura Automatizada,28,7,Septiembre- Diciembre,2017,,,,
Tecnólogo en Desarrollo de Software,712,100,Septiembre- Diciembre,2017,,,,
Tecnólogo en Seguridad Informática,130,20,Septiembre- Diciembre,2017,,,,
Tecnólogo en Mecatrónica,259,26,Septiembre- Diciembre,2017,,,,
Tecnólogo en Redes de Información,298,48,Septiembre- Diciembre,2017,,,,
Tecnólogo en Sonido,40,5,Septiembre- Diciembre,2017,,,,
Tecnólogo en Multimedia ,134,233,Enero - Abril,2018,,,,
Tecnólogo en Manufactura Automatizada,6,26,Enero - Abril,2018,,,,
Tecnólogo en Desarrollo de Software,124,797,Enero - Abril,2018,,,,
Tecnólogo en Seguridad Informática,21,161,Enero - Abril,2018,,,,
Tecnólogo en Mecatrónica,34,293,Enero - Abril,2018,,,,
Tecnólogo en Redes de Información,35,302,Enero - Abril,2018,,,,
Tecnólogo en Sonido,5,48,Enero - Abril,2018,,,,
Tecnólogo en Multimedia ,108,179,Mayo - Agosto,2018,,,,
Tecnólogo en Manufactura Automatizada,4,24,Mayo - Agosto,2018,,,,
Tecnólogo en Desarrollo de Software,88,632,Mayo - Agosto,2018,,,,
Tecnólogo en Seguridad Informática,26,141,Mayo - Agosto,2018,,,,
Tecnólogo en Mecatrónica,30,226,Mayo - Agosto,2018,,,,
Tecnólogo en Redes de Información,32,219,Mayo - Agosto,2018,,,,
Tecnólogo en Sonido,2,38,Mayo - Agosto,2018,,,,
Tecnólogo en Multimedia ,49,294,Septiembre- Diciembre,2018,,,,
Tecnólogo en Manufactura Automatizada,127,816,Septiembre- Diciembre,2018,,,,
Tecnólogo en Desarrollo de Software,6,49,Septiembre- Diciembre,2018,,,,
Tecnólogo en Seguridad Informática,136,237,Septiembre- Diciembre,2018,,,,
Tecnólogo en Mecatrónica,10,47,Septiembre- Diciembre,2018,,,,
Tecnólogo en Redes de Información,37,234,Septiembre- Diciembre,2018,,,,
Tecnólogo en Sonido,34,284,Septiembre- Diciembre,2018,,,,
Tecnólogo en Multimedia,152,224,Enero - Abril,2019,,,,
Tecnólogo en Manufactura Automatizada,11,38,Enero - Abril,2019,,,,
Tecnólogo en Desarrollo de Software,149,912,Enero - Abril,2019,,,,
Tecnólogo en Seguridad Informática,61,265,Enero - Abril,2019,,,,
Tecnólogo en Mecatrónica,62,298,Enero - Abril,2019,,,,
Tecnólogo en Redes de Información,55,270,Enero - Abril,2019,,,,
Tecnólogo en Sonido,6,55,Enero - Abril,2019,,,,
Tecnólogo en Multimedia,149,271,Mayo - Agosto,2019,,,,
Tecnólogo en Manufactura Automatizada,10,41,Mayo - Agosto,2019,,,,
Tecnólogo en Desarrollo de Software,138,970,Mayo - Agosto,2019,,,,
