Entrenamiento,Email,Egresado,Precios US,Incluye pasantia,Primer contacto,Estatus laboral,Razon de retiro,Razon de eleccion del bootcamp,Proveedores de bootcamp,Horario de los bootcamps,Primer contacto_Instagram,Primer contacto_WhatsApp,Incluye pasantia_0,Incluye pasantia_1
Bootcamp en Desarrollo Web con C#,gmail.com,Inscrito,299.0,0,WhatsApp,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Lunes, miércoles y viernes de 6:00pm a 8:00 pm",0.0,1.0,1.0,0.0
Software Testing QA,gmail.com,Inscrito,299.0,0,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,Martes y jueves de 6:00 pm a 8:00 pm,1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,Inscrito,2900.0,0,WhatsApp,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Lunes, miércoles y viernes de 6:00pm a 8:00 pm",0.0,1.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,Inscrito,2900.0,0,WhatsApp,1,N/A,Aprender algo nuevo,Maestros de Talendig,"Lunes, miércoles y viernes de 6:00pm a 8:00 pm",0.0,1.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,Inscrito,2900.0,0,WhatsApp,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Lunes, miércoles y viernes de 6:00pm a 8:00 pm",0.0,1.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,Inscrito,2900.0,0,WhatsApp,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Lunes, miércoles y viernes de 6:00pm a 8:00 pm",0.0,1.0,1.0,0.0
Bootcamp en Angular 13,gmail.com,Inscrito,499.0,0,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,Sabados de 9:00 am a 4:00 pm,1.0,0.0,1.0,0.0
Bootcamp en Angular 13,outlook.com,Inscrito,499.0,0,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,Sabados de 9:00 am a 4:00 pm,1.0,0.0,1.0,0.0
Software Testing QA,hotmail.com,Inscrito,299.0,0,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,Martes y jueves de 6:00 pm a 8:00 pm,1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,Inscrito,2900.0,0,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Lunes, miércoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,Inscrito,2900.0,0,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Lunes, miércoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web,gmail.com,Inscrito,2900.0,1,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y sábados de 4:00 pm a 6:00 pm",1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,Inscrito,2900.0,1,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y sábados de 4:00 pm a 6:00 pm",1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,Inscrito,2900.0,1,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y sábados de 4:00 pm a 6:00 pm",1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,Inscrito,2900.0,1,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y sábados de 4:00 pm a 6:00 pm",1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,Inscrito,2900.0,1,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y sábados de 4:00 pm a 6:00 pm",1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,Inscrito,2900.0,1,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y sábados de 4:00 pm a 6:00 pm",1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,Inscrito,2900.0,1,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y sábados de 4:00 pm a 6:00 pm",1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,Inscrito,2900.0,1,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y sábados de 4:00 pm a 6:00 pm",1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,Inscrito,2900.0,1,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y sábados de 4:00 pm a 6:00 pm",1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,hotmail.com,Inscrito,2900.0,1,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y sábados de 4:00 pm a 6:00 pm",1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,Inscrito,2900.0,1,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y sábados de 4:00 pm a 6:00 pm",1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,Inscrito,2900.0,1,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y sábados de 4:00 pm a 6:00 pm",1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,outlook.com,Inscrito,2900.0,1,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y sábados de 4:00 pm a 6:00 pm",1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,Inscrito,2900.0,1,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y sábados de 4:00 pm a 6:00 pm",1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,Inscrito,2900.0,1,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y sábados de 4:00 pm a 6:00 pm",1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,Inscrito,2900.0,1,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y sábados de 4:00 pm a 6:00 pm",1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,Inscrito,2900.0,1,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y sábados de 4:00 pm a 6:00 pm",1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,Inscrito,2900.0,1,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y sábados de 4:00 pm a 6:00 pm",1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,Inscrito,2900.0,1,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y sábados de 4:00 pm a 6:00 pm",1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,Inscrito,2900.0,1,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y sábados de 4:00 pm a 6:00 pm",1.0,0.0,0.0,1.0
Bootcamp en Angular 13,gmail.com,Inscrito,499.0,0,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,Sabados de 9:00 am a 4:00 pm,1.0,0.0,1.0,0.0
